OrderDate,Region,Segment,Category,Product,Sales,Quantity,Discount,Profit
2025-01-06,West,Consumer,Technology,Wireless Headset,1250,5,0.05,210
2025-01-14,Central,Corporate,Technology,USB-C Dock,1840,4,0.10,265
2025-01-25,East,Home Office,Office Supplies,Planner Set,980,12,0.00,188
2025-02-03,South,Consumer,Technology,Office Monitor,2150,3,0.15,170
2025-02-11,West,Corporate,Office Supplies,Archive Box Pack,1420,18,0.05,240
2025-02-21,Central,Consumer,Furniture,Task Chair,1120,4,0.10,125
2025-03-04,East,Consumer,Technology,Mechanical Keyboard,1560,8,0.05,278
2025-03-12,South,Home Office,Furniture,Standing Desk,2380,4,0.10,312
2025-03-27,West,Corporate,Office Supplies,Label Printer,890,6,0.20,-42
2025-04-02,Central,Consumer,Office Supplies,Notebook Bundle,760,20,0.00,204
2025-04-16,East,Corporate,Technology,Web Camera,1320,8,0.10,176
2025-04-26,South,Consumer,Furniture,Bookcase,980,5,0.25,-65
2025-05-05,West,Home Office,Technology,External SSD,1780,7,0.05,295
2025-05-13,Central,Corporate,Office Supplies,Desk Organizer,540,14,0.00,142
2025-05-29,East,Consumer,Furniture,Meeting Table,2640,3,0.15,230
2025-06-07,South,Corporate,Technology,Network Switch,1960,7,0.10,254
2025-06-15,West,Consumer,Office Supplies,Ink Cartridge Pack,680,16,0.05,128
2025-06-24,Central,Home Office,Furniture,Ergonomic Chair,1490,5,0.20,72
2025-07-03,East,Consumer,Technology,Wireless Headset,1680,7,0.05,301
2025-07-11,South,Corporate,Office Supplies,Shipping Labels,470,18,0.00,119
2025-07-26,West,Home Office,Furniture,Filing Cabinet,1210,4,0.15,88
2025-08-04,Central,Consumer,Technology,Office Monitor,2420,4,0.10,318
2025-08-18,East,Corporate,Office Supplies,Archive Box Pack,1290,16,0.05,219
2025-08-27,South,Consumer,Furniture,Conference Chair,2050,8,0.25,-120
2025-09-06,West,Corporate,Technology,USB-C Dock,2210,5,0.10,327
2025-09-14,Central,Home Office,Office Supplies,Planner Set,840,10,0.00,176
2025-09-23,East,Consumer,Furniture,Standing Desk,2740,5,0.10,386
2025-10-02,South,Consumer,Technology,External SSD,1890,8,0.05,305
2025-10-12,West,Home Office,Office Supplies,Notebook Bundle,620,17,0.00,165
2025-10-28,Central,Corporate,Furniture,Task Chair,1340,6,0.20,54
2025-11-05,East,Consumer,Technology,Network Switch,2160,6,0.10,284
2025-11-16,South,Corporate,Office Supplies,Label Printer,930,7,0.20,-31
2025-11-25,West,Consumer,Furniture,Bookcase,1180,6,0.15,64
2025-12-04,Central,Corporate,Technology,Web Camera,1540,10,0.05,248
2025-12-15,East,Home Office,Office Supplies,Desk Organizer,690,19,0.00,182
2025-12-22,South,Consumer,Furniture,Meeting Table,2980,4,0.10,352
